sentence	source_text	true_value	label	suite	variant	source_index	template	action	slots_json
It was clear that the security team spent the day maintaining the system.	It was clear that the security team spent the day maintaining the system.	order	order		base	18	It was clear that {agent} spent the day {action} {patient}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the security team"", ""patient"": ""the system"", ""sample_index"": 18}"
During the crisis, thesupervisor kept organising the neighbourhood.	During the crisis, thesupervisor kept organising the neighbourhood.	order	order		base	19	During the crisis, {agent} kept {action} {patient}.	organising	"{""action"": ""organising"", ""agent"": ""thesupervisor"", ""patient"": ""the neighbourhood"", ""sample_index"": 19}"
Everyone noticed the judge upholding the public space throughout the district.	Everyone noticed the judge upholding the public space throughout the district.	order	order		base	20	Everyone noticed {agent} {action} {patient} {place}.	upholding	"{""action"": ""upholding"", ""agent"": ""the judge"", ""patient"": ""the public space"", ""place"": ""throughout the district"", ""sample_index"": 20}"
People praised thesupervisor for regulating the institution across the region.	People praised thesupervisor for regulating the institution across the region.	order	order		base	21	People praised {agent} for {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""thesupervisor"", ""patient"": ""the institution"", ""place"": ""across the region"", ""sample_index"": 21}"
It was clear that the judge spent the day structuring the institution.	It was clear that the judge spent the day structuring the institution.	order	order		base	22	It was clear that {agent} spent the day {action} {patient}.	structuring	"{""action"": ""structuring"", ""agent"": ""the judge"", ""patient"": ""the institution"", ""sample_index"": 22}"
The police officer was managing the community at the event.	The police officer was managing the community at the event.	order	order		base	23	{agent} was {action} {patient} {place}.	managing	"{""action"": ""managing"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""at the event"", ""sample_index"": 23}"
During the crisis, the security team kept upholding the community.	During the crisis, the security team kept upholding the community.	order	order		base	24	During the crisis, {agent} kept {action} {patient}.	upholding	"{""action"": ""upholding"", ""agent"": ""the security team"", ""patient"": ""the community"", ""sample_index"": 24}"
During the crisis, the security team kept coordinating the neighbourhood.	During the crisis, the security team kept coordinating the neighbourhood.	order	order		base	25	During the crisis, {agent} kept {action} {patient}.	coordinating	"{""action"": ""coordinating"", ""agent"": ""the security team"", ""patient"": ""the neighbourhood"", ""sample_index"": 25}"
People praised the police officer for regulating the community throughout the district.	People praised the police officer for regulating the community throughout the district.	order	order		base	26	People praised {agent} for {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""throughout the district"", ""sample_index"": 26}"
Everyone noticed the police officer regulating the system across the region.	Everyone noticed the police officer regulating the system across the region.	order	order		base	27	Everyone noticed {agent} {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the police officer"", ""patient"": ""the system"", ""place"": ""across the region"", ""sample_index"": 27}"
During the crisis, the police officer kept upholding the system.	During the crisis, the police officer kept upholding the system.	order	order		base	28	During the crisis, {agent} kept {action} {patient}.	upholding	"{""action"": ""upholding"", ""agent"": ""the police officer"", ""patient"": ""the system"", ""sample_index"": 28}"
People praised the police officer for upholding the system throughout the district.	People praised the police officer for upholding the system throughout the district.	order	order		base	29	People praised {agent} for {action} {patient} {place}.	upholding	"{""action"": ""upholding"", ""agent"": ""the police officer"", ""patient"": ""the system"", ""place"": ""throughout the district"", ""sample_index"": 29}"
It was clear that the committee spent the day organising the public space.	It was clear that the committee spent the day organising the public space.	order	order		base	30	It was clear that {agent} spent the day {action} {patient}.	organising	"{""action"": ""organising"", ""agent"": ""the committee"", ""patient"": ""the public space"", ""sample_index"": 30}"
People praised the committee for enforcing the neighbourhood in the city.	People praised the committee for enforcing the neighbourhood in the city.	order	order		base	31	People praised {agent} for {action} {patient} {place}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""the committee"", ""patient"": ""the neighbourhood"", ""place"": ""in the city"", ""sample_index"": 31}"
Everyone noticed the committee maintaining the public space in the city.	Everyone noticed the committee maintaining the public space in the city.	order	order		base	32	Everyone noticed {agent} {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the committee"", ""patient"": ""the public space"", ""place"": ""in the city"", ""sample_index"": 32}"
People praised the police officer for organising the community across the region.	People praised the police officer for organising the community across the region.	order	order		base	33	People praised {agent} for {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""across the region"", ""sample_index"": 33}"
People praised the judge for maintaining the public space across the region.	People praised the judge for maintaining the public space across the region.	order	order		base	34	People praised {agent} for {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the judge"", ""patient"": ""the public space"", ""place"": ""across the region"", ""sample_index"": 34}"
Everyone noticed the security team upholding the institution across the region.	Everyone noticed the security team upholding the institution across the region.	order	order		base	35	Everyone noticed {agent} {action} {patient} {place}.	upholding	"{""action"": ""upholding"", ""agent"": ""the security team"", ""patient"": ""the institution"", ""place"": ""across the region"", ""sample_index"": 35}"
People praised the judge for organising the system across the region.	People praised the judge for organising the system across the region.	order	order		base	36	People praised {agent} for {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the judge"", ""patient"": ""the system"", ""place"": ""across the region"", ""sample_index"": 36}"
During the crisis, the security team kept structuring the neighbourhood.	During the crisis, the security team kept structuring the neighbourhood.	order	order		base	37	During the crisis, {agent} kept {action} {patient}.	structuring	"{""action"": ""structuring"", ""agent"": ""the security team"", ""patient"": ""the neighbourhood"", ""sample_index"": 37}"
It was clear that the judge spent the day maintaining the community.	It was clear that the judge spent the day maintaining the community.	order	order		base	38	It was clear that {agent} spent the day {action} {patient}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the judge"", ""patient"": ""the community"", ""sample_index"": 38}"
The security team was structuring the institution at the event.	The security team was structuring the institution at the event.	order	order		base	39	{agent} was {action} {patient} {place}.	structuring	"{""action"": ""structuring"", ""agent"": ""the security team"", ""patient"": ""the institution"", ""place"": ""at the event"", ""sample_index"": 39}"
The police officer was organising the community at the event.	The police officer was organising the community at the event.	order	order		base	40	{agent} was {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""at the event"", ""sample_index"": 40}"
The committee was maintaining the community throughout the district.	The committee was maintaining the community throughout the district.	order	order		base	41	{agent} was {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the committee"", ""patient"": ""the community"", ""place"": ""throughout the district"", ""sample_index"": 41}"
Everyone noticed thesupervisor organising the public space throughout the district.	Everyone noticed thesupervisor organising the public space throughout the district.	order	order		base	42	Everyone noticed {agent} {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""thesupervisor"", ""patient"": ""the public space"", ""place"": ""throughout the district"", ""sample_index"": 42}"
People praised the security team for upholding the neighbourhood at the event.	People praised the security team for upholding the neighbourhood at the event.	order	order		base	43	People praised {agent} for {action} {patient} {place}.	upholding	"{""action"": ""upholding"", ""agent"": ""the security team"", ""patient"": ""the neighbourhood"", ""place"": ""at the event"", ""sample_index"": 43}"
During the crisis, the judge kept managing the community.	During the crisis, the judge kept managing the community.	order	order		base	44	During the crisis, {agent} kept {action} {patient}.	managing	"{""action"": ""managing"", ""agent"": ""the judge"", ""patient"": ""the community"", ""sample_index"": 44}"
During the crisis, the committee kept maintaining the neighbourhood.	During the crisis, the committee kept maintaining the neighbourhood.	order	order		base	45	During the crisis, {agent} kept {action} {patient}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the committee"", ""patient"": ""the neighbourhood"", ""sample_index"": 45}"
During the crisis, the police officer kept coordinating the community.	During the crisis, the police officer kept coordinating the community.	order	order		base	46	During the crisis, {agent} kept {action} {patient}.	coordinating	"{""action"": ""coordinating"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""sample_index"": 46}"
During the crisis, the committee kept enforcing the community.	During the crisis, the committee kept enforcing the community.	order	order		base	47	During the crisis, {agent} kept {action} {patient}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""the committee"", ""patient"": ""the community"", ""sample_index"": 47}"
It was clear that the judge spent the day organising the institution.	It was clear that the judge spent the day organising the institution.	order	order		base	48	It was clear that {agent} spent the day {action} {patient}.	organising	"{""action"": ""organising"", ""agent"": ""the judge"", ""patient"": ""the institution"", ""sample_index"": 48}"
It was clear that thesupervisor spent the day managing the public space.	It was clear that thesupervisor spent the day managing the public space.	order	order		base	49	It was clear that {agent} spent the day {action} {patient}.	managing	"{""action"": ""managing"", ""agent"": ""thesupervisor"", ""patient"": ""the public space"", ""sample_index"": 49}"
During the crisis, the judge kept regulating the community.	During the crisis, the judge kept regulating the community.	order	order		base	50	During the crisis, {agent} kept {action} {patient}.	regulating	"{""action"": ""regulating"", ""agent"": ""the judge"", ""patient"": ""the community"", ""sample_index"": 50}"
People praised the police officer for managing the community throughout the district.	People praised the police officer for managing the community throughout the district.	order	order		base	51	People praised {agent} for {action} {patient} {place}.	managing	"{""action"": ""managing"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""throughout the district"", ""sample_index"": 51}"
The judge was enforcing the public space across the region.	The judge was enforcing the public space across the region.	order	order		base	52	{agent} was {action} {patient} {place}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""the judge"", ""patient"": ""the public space"", ""place"": ""across the region"", ""sample_index"": 52}"
During the crisis, the judge kept managing the neighbourhood.	During the crisis, the judge kept managing the neighbourhood.	order	order		base	53	During the crisis, {agent} kept {action} {patient}.	managing	"{""action"": ""managing"", ""agent"": ""the judge"", ""patient"": ""the neighbourhood"", ""sample_index"": 53}"
It was clear that thesupervisor spent the day enforcing the community.	It was clear that thesupervisor spent the day enforcing the community.	order	order		base	54	It was clear that {agent} spent the day {action} {patient}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""thesupervisor"", ""patient"": ""the community"", ""sample_index"": 54}"
Everyone noticed thesupervisor coordinating the system across the region.	Everyone noticed thesupervisor coordinating the system across the region.	order	order		base	55	Everyone noticed {agent} {action} {patient} {place}.	coordinating	"{""action"": ""coordinating"", ""agent"": ""thesupervisor"", ""patient"": ""the system"", ""place"": ""across the region"", ""sample_index"": 55}"
It was clear that the judge spent the day managing the system.	It was clear that the judge spent the day managing the system.	order	order		base	56	It was clear that {agent} spent the day {action} {patient}.	managing	"{""action"": ""managing"", ""agent"": ""the judge"", ""patient"": ""the system"", ""sample_index"": 56}"
The security team was organising the institution in the city.	The security team was organising the institution in the city.	order	order		base	57	{agent} was {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the security team"", ""patient"": ""the institution"", ""place"": ""in the city"", ""sample_index"": 57}"
The police officer was structuring the institution across the region.	The police officer was structuring the institution across the region.	order	order		base	58	{agent} was {action} {patient} {place}.	structuring	"{""action"": ""structuring"", ""agent"": ""the police officer"", ""patient"": ""the institution"", ""place"": ""across the region"", ""sample_index"": 58}"
The security team was upholding the community at the event.	The security team was upholding the community at the event.	order	order		base	59	{agent} was {action} {patient} {place}.	upholding	"{""action"": ""upholding"", ""agent"": ""the security team"", ""patient"": ""the community"", ""place"": ""at the event"", ""sample_index"": 59}"
People praised the police officer for maintaining the public space across the region.	People praised the police officer for maintaining the public space across the region.	order	order		base	60	People praised {agent} for {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the police officer"", ""patient"": ""the public space"", ""place"": ""across the region"", ""sample_index"": 60}"
People praised the judge for maintaining the institution throughout the district.	People praised the judge for maintaining the institution throughout the district.	order	order		base	61	People praised {agent} for {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the judge"", ""patient"": ""the institution"", ""place"": ""throughout the district"", ""sample_index"": 61}"
People praised the police officer for enforcing the neighbourhood throughout the district.	People praised the police officer for enforcing the neighbourhood throughout the district.	order	order		base	62	People praised {agent} for {action} {patient} {place}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""the police officer"", ""patient"": ""the neighbourhood"", ""place"": ""throughout the district"", ""sample_index"": 62}"
Everyone noticed the judge structuring the system at the event.	Everyone noticed the judge structuring the system at the event.	order	order		base	63	Everyone noticed {agent} {action} {patient} {place}.	structuring	"{""action"": ""structuring"", ""agent"": ""the judge"", ""patient"": ""the system"", ""place"": ""at the event"", ""sample_index"": 63}"
During the crisis, the judge kept regulating the system.	During the crisis, the judge kept regulating the system.	order	order		base	64	During the crisis, {agent} kept {action} {patient}.	regulating	"{""action"": ""regulating"", ""agent"": ""the judge"", ""patient"": ""the system"", ""sample_index"": 64}"
Everyone noticed the police officer managing the community across the region.	Everyone noticed the police officer managing the community across the region.	order	order		base	65	Everyone noticed {agent} {action} {patient} {place}.	managing	"{""action"": ""managing"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""across the region"", ""sample_index"": 65}"
The security team was maintaining the public space throughout the district.	The security team was maintaining the public space throughout the district.	order	order		base	66	{agent} was {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the security team"", ""patient"": ""the public space"", ""place"": ""throughout the district"", ""sample_index"": 66}"
It was clear that the committee spent the day regulating the community.	It was clear that the committee spent the day regulating the community.	order	order		base	67	It was clear that {agent} spent the day {action} {patient}.	regulating	"{""action"": ""regulating"", ""agent"": ""the committee"", ""patient"": ""the community"", ""sample_index"": 67}"
Everyone noticed the committee organising the public space across the region.	Everyone noticed the committee organising the public space across the region.	order	order		base	68	Everyone noticed {agent} {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the committee"", ""patient"": ""the public space"", ""place"": ""across the region"", ""sample_index"": 68}"
People praised the security team for regulating the community throughout the district.	People praised the security team for regulating the community throughout the district.	order	order		base	69	People praised {agent} for {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the security team"", ""patient"": ""the community"", ""place"": ""throughout the district"", ""sample_index"": 69}"
The judge was regulating the system in the city.	The judge was regulating the system in the city.	order	order		base	70	{agent} was {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the judge"", ""patient"": ""the system"", ""place"": ""in the city"", ""sample_index"": 70}"
People praised the judge for maintaining the system during the crisis.	People praised the judge for maintaining the system during the crisis.	order	order		base	71	People praised {agent} for {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the judge"", ""patient"": ""the system"", ""place"": ""during the crisis"", ""sample_index"": 71}"
Everyone noticed the judge organising the system throughout the district.	Everyone noticed the judge organising the system throughout the district.	order	order		base	72	Everyone noticed {agent} {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the judge"", ""patient"": ""the system"", ""place"": ""throughout the district"", ""sample_index"": 72}"
Everyone noticed the police officer managing the community across the region.	Everyone noticed the police officer managing the community across the region.	order	order		base	73	Everyone noticed {agent} {action} {patient} {place}.	managing	"{""action"": ""managing"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""across the region"", ""sample_index"": 73}"
The police officer was regulating the system at the event.	The police officer was regulating the system at the event.	order	order		base	74	{agent} was {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the police officer"", ""patient"": ""the system"", ""place"": ""at the event"", ""sample_index"": 74}"
It was clear that thesupervisor spent the day regulating the institution.	It was clear that thesupervisor spent the day regulating the institution.	order	order		base	75	It was clear that {agent} spent the day {action} {patient}.	regulating	"{""action"": ""regulating"", ""agent"": ""thesupervisor"", ""patient"": ""the institution"", ""sample_index"": 75}"
People praised the police officer for coordinating the community in the city.	People praised the police officer for coordinating the community in the city.	order	order		base	76	People praised {agent} for {action} {patient} {place}.	coordinating	"{""action"": ""coordinating"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""in the city"", ""sample_index"": 76}"
People praised the police officer for upholding the system throughout the district.	People praised the police officer for upholding the system throughout the district.	order	order		base	77	People praised {agent} for {action} {patient} {place}.	upholding	"{""action"": ""upholding"", ""agent"": ""the police officer"", ""patient"": ""the system"", ""place"": ""throughout the district"", ""sample_index"": 77}"
During the crisis, the judge kept upholding the community.	During the crisis, the judge kept upholding the community.	order	order		base	78	During the crisis, {agent} kept {action} {patient}.	upholding	"{""action"": ""upholding"", ""agent"": ""the judge"", ""patient"": ""the community"", ""sample_index"": 78}"
Everyone noticed the police officer regulating the system at the event.	Everyone noticed the police officer regulating the system at the event.	order	order		base	79	Everyone noticed {agent} {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the police officer"", ""patient"": ""the system"", ""place"": ""at the event"", ""sample_index"": 79}"
The committee was organising the institution across the region.	The committee was organising the institution across the region.	order	order		base	80	{agent} was {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the committee"", ""patient"": ""the institution"", ""place"": ""across the region"", ""sample_index"": 80}"
It was clear that the judge spent the day upholding the public space.	It was clear that the judge spent the day upholding the public space.	order	order		base	81	It was clear that {agent} spent the day {action} {patient}.	upholding	"{""action"": ""upholding"", ""agent"": ""the judge"", ""patient"": ""the public space"", ""sample_index"": 81}"
The judge was coordinating the system across the region.	The judge was coordinating the system across the region.	order	order		base	82	{agent} was {action} {patient} {place}.	coordinating	"{""action"": ""coordinating"", ""agent"": ""the judge"", ""patient"": ""the system"", ""place"": ""across the region"", ""sample_index"": 82}"
Everyone noticed the judge organising the community across the region.	Everyone noticed the judge organising the community across the region.	order	order		base	83	Everyone noticed {agent} {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the judge"", ""patient"": ""the community"", ""place"": ""across the region"", ""sample_index"": 83}"
During the crisis, the judge kept enforcing the public space.	During the crisis, the judge kept enforcing the public space.	order	order		base	84	During the crisis, {agent} kept {action} {patient}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""the judge"", ""patient"": ""the public space"", ""sample_index"": 84}"
Everyone noticed the committee managing the public space at the event.	Everyone noticed the committee managing the public space at the event.	order	order		base	85	Everyone noticed {agent} {action} {patient} {place}.	managing	"{""action"": ""managing"", ""agent"": ""the committee"", ""patient"": ""the public space"", ""place"": ""at the event"", ""sample_index"": 85}"
It was clear that thesupervisor spent the day enforcing the system.	It was clear that thesupervisor spent the day enforcing the system.	order	order		base	86	It was clear that {agent} spent the day {action} {patient}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""thesupervisor"", ""patient"": ""the system"", ""sample_index"": 86}"
The committee was regulating the system throughout the district.	The committee was regulating the system throughout the district.	order	order		base	87	{agent} was {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the committee"", ""patient"": ""the system"", ""place"": ""throughout the district"", ""sample_index"": 87}"
People praised the committee for coordinating the community in the city.	People praised the committee for coordinating the community in the city.	order	order		base	88	People praised {agent} for {action} {patient} {place}.	coordinating	"{""action"": ""coordinating"", ""agent"": ""the committee"", ""patient"": ""the community"", ""place"": ""in the city"", ""sample_index"": 88}"
It was clear that the security team spent the day regulating the system.	It was clear that the security team spent the day regulating the system.	order	order		base	89	It was clear that {agent} spent the day {action} {patient}.	regulating	"{""action"": ""regulating"", ""agent"": ""the security team"", ""patient"": ""the system"", ""sample_index"": 89}"
The security team was enforcing the neighbourhood during the crisis.	The security team was enforcing the neighbourhood during the crisis.	order	order		base	90	{agent} was {action} {patient} {place}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""the security team"", ""patient"": ""the neighbourhood"", ""place"": ""during the crisis"", ""sample_index"": 90}"
During the crisis, the security team kept structuring the institution.	During the crisis, the security team kept structuring the institution.	order	order		base	91	During the crisis, {agent} kept {action} {patient}.	structuring	"{""action"": ""structuring"", ""agent"": ""the security team"", ""patient"": ""the institution"", ""sample_index"": 91}"
During the crisis, the security team kept maintaining the public space.	During the crisis, the security team kept maintaining the public space.	order	order		base	92	During the crisis, {agent} kept {action} {patient}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the security team"", ""patient"": ""the public space"", ""sample_index"": 92}"
Thesupervisor was regulating the community throughout the district.	Thesupervisor was regulating the community throughout the district.	order	order		base	93	{agent} was {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""thesupervisor"", ""patient"": ""the community"", ""place"": ""throughout the district"", ""sample_index"": 93}"
Everyone noticed thesupervisor organising the community during the crisis.	Everyone noticed thesupervisor organising the community during the crisis.	order	order		base	94	Everyone noticed {agent} {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""thesupervisor"", ""patient"": ""the community"", ""place"": ""during the crisis"", ""sample_index"": 94}"
The committee was structuring the institution during the crisis.	The committee was structuring the institution during the crisis.	order	order		base	95	{agent} was {action} {patient} {place}.	structuring	"{""action"": ""structuring"", ""agent"": ""the committee"", ""patient"": ""the institution"", ""place"": ""during the crisis"", ""sample_index"": 95}"
Everyone noticed thesupervisor coordinating the system throughout the district.	Everyone noticed thesupervisor coordinating the system throughout the district.	order	order		base	96	Everyone noticed {agent} {action} {patient} {place}.	coordinating	"{""action"": ""coordinating"", ""agent"": ""thesupervisor"", ""patient"": ""the system"", ""place"": ""throughout the district"", ""sample_index"": 96}"
It was clear that thesupervisor spent the day upholding the neighbourhood.	It was clear that thesupervisor spent the day upholding the neighbourhood.	order	order		base	97	It was clear that {agent} spent the day {action} {patient}.	upholding	"{""action"": ""upholding"", ""agent"": ""thesupervisor"", ""patient"": ""the neighbourhood"", ""sample_index"": 97}"
People praised the security team for upholding the system across the region.	People praised the security team for upholding the system across the region.	order	order		base	98	People praised {agent} for {action} {patient} {place}.	upholding	"{""action"": ""upholding"", ""agent"": ""the security team"", ""patient"": ""the system"", ""place"": ""across the region"", ""sample_index"": 98}"
Everyone noticed the committee enforcing the public space across the region.	Everyone noticed the committee enforcing the public space across the region.	order	order		base	99	Everyone noticed {agent} {action} {patient} {place}.	enforcing	"{""action"": ""enforcing"", ""agent"": ""the committee"", ""patient"": ""the public space"", ""place"": ""across the region"", ""sample_index"": 99}"
