sentence,source_text,true_value,label,suite,variant,source_index,template,action,slots_json,nature_score,nature_score_norm,nature_group,error
It was clear that a volunteer spent the day healing the grove.,It was clear that a volunteer spent the day healing the grove.,nature,nature,,base,15,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""sample_index"": 15}",98.0,0.98,forest,
Everyone noticed the community team tending the woods on the hillside.,Everyone noticed the community team tending the woods on the hillside.,nature,nature,,base,16,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 16}",92.0,0.92,forest,
It was clear that a ranger spent the day protecting the woodland.,It was clear that a ranger spent the day protecting the woodland.,nature,nature,,base,17,It was clear that {agent} spent the day {action} {patient}.,protecting,"{""action"": ""protecting"", ""agent"": ""a ranger"", ""patient"": ""the woodland"", ""sample_index"": 17}",98.0,0.98,forest,
Everyone noticed a ranger tending the woods after the rain.,Everyone noticed a ranger tending the woods after the rain.,nature,nature,,base,18,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 18}",93.0,0.93,forest,
It was clear that a local student spent the day safeguarding the grove.,It was clear that a local student spent the day safeguarding the grove.,nature,nature,,base,19,It was clear that {agent} spent the day {action} {patient}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""sample_index"": 19}",98.0,0.98,forest,
It was clear that a caretaker spent the day watching over the woods.,It was clear that a caretaker spent the day watching over the woods.,nature,nature,,base,20,It was clear that {agent} spent the day {action} {patient}.,watching over,"{""action"": ""watching over"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""sample_index"": 20}",98.0,0.98,forest,
People praised the community team for cleaning up the woodland after the rain.,People praised the community team for cleaning up the woodland after the rain.,nature,nature,,base,21,People praised {agent} for {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""the community team"", ""patient"": ""the woodland"", ""place"": ""after the rain"", ""sample_index"": 21}",98.0,0.98,forest,
People praised a local student for tending the woodland near the trail.,People praised a local student for tending the woodland near the trail.,nature,nature,,base,22,People praised {agent} for {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""near the trail"", ""sample_index"": 22}",93.0,0.93,forest,
People praised a local student for restoring the forest by the river.,People praised a local student for restoring the forest by the river.,nature,nature,,base,23,People praised {agent} for {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""place"": ""by the river"", ""sample_index"": 23}",98.0,0.98,forest,
It was clear that a volunteer spent the day preserving the grove.,It was clear that a volunteer spent the day preserving the grove.,nature,nature,,base,24,It was clear that {agent} spent the day {action} {patient}.,preserving,"{""action"": ""preserving"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""sample_index"": 24}",98.0,0.98,forest,
"During the storm, a local student kept preserving the natural habitat.","During the storm, a local student kept preserving the natural habitat.",nature,nature,,base,25,"During the storm, {agent} kept {action} {patient}.",preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""sample_index"": 25}",98.0,0.98,forest,
People praised a caretaker for watching over the natural habitat by the river.,People praised a caretaker for watching over the natural habitat by the river.,nature,nature,,base,26,People praised {agent} for {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""place"": ""by the river"", ""sample_index"": 26}",98.0,0.98,forest,
People praised a caretaker for preserving the woodland by the river.,People praised a caretaker for preserving the woodland by the river.,nature,nature,,base,27,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 27}",98.0,0.98,forest,
"During the storm, a volunteer kept nurturing the grove.","During the storm, a volunteer kept nurturing the grove.",nature,nature,,base,28,"During the storm, {agent} kept {action} {patient}.",nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""sample_index"": 28}",92.0,0.92,forest,
Everyone noticed the community team protecting the woods after the rain.,Everyone noticed the community team protecting the woods after the rain.,nature,nature,,base,29,Everyone noticed {agent} {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 29}",98.0,0.98,forest,
Everyone noticed the community team preserving the natural habitat near the trail.,Everyone noticed the community team preserving the natural habitat near the trail.,nature,nature,,base,30,Everyone noticed {agent} {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""place"": ""near the trail"", ""sample_index"": 30}",98.0,0.98,forest,
Everyone noticed a volunteer restoring the natural habitat after the rain.,Everyone noticed a volunteer restoring the natural habitat after the rain.,nature,nature,,base,31,Everyone noticed {agent} {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""place"": ""after the rain"", ""sample_index"": 31}",98.0,0.98,forest,
People praised a caretaker for protecting the grove by the river.,People praised a caretaker for protecting the grove by the river.,nature,nature,,base,32,People praised {agent} for {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""place"": ""by the river"", ""sample_index"": 32}",98.0,0.98,forest,
Everyone noticed a caretaker preserving the woods by the river.,Everyone noticed a caretaker preserving the woods by the river.,nature,nature,,base,33,Everyone noticed {agent} {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""by the river"", ""sample_index"": 33}",98.0,0.98,forest,
People praised a ranger for cleaning up the forest at sunrise.,People praised a ranger for cleaning up the forest at sunrise.,nature,nature,,base,34,People praised {agent} for {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""place"": ""at sunrise"", ""sample_index"": 34}",98.0,0.98,forest,
People praised a volunteer for preserving the woods at sunrise.,People praised a volunteer for preserving the woods at sunrise.,nature,nature,,base,35,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 35}",98.0,0.98,forest,
It was clear that a caretaker spent the day healing the natural habitat.,It was clear that a caretaker spent the day healing the natural habitat.,nature,nature,,base,36,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""sample_index"": 36}",98.0,0.98,forest,
It was clear that the community team spent the day tending the woods.,It was clear that the community team spent the day tending the woods.,nature,nature,,base,37,It was clear that {agent} spent the day {action} {patient}.,tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""sample_index"": 37}",98.0,0.98,forest,
"During the storm, a caretaker kept nurturing the grove.","During the storm, a caretaker kept nurturing the grove.",nature,nature,,base,38,"During the storm, {agent} kept {action} {patient}.",nurturing,"{""action"": ""nurturing"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""sample_index"": 38}",98.0,0.98,forest,
"During the storm, a ranger kept healing the woods.","During the storm, a ranger kept healing the woods.",nature,nature,,base,39,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""sample_index"": 39}",98.0,0.98,forest,
A caretaker was cleaning up the forest after the rain.,A caretaker was cleaning up the forest after the rain.,nature,nature,,base,40,{agent} was {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 40}",98.0,0.98,forest,
It was clear that the community team spent the day healing the woods.,It was clear that the community team spent the day healing the woods.,nature,nature,,base,41,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""sample_index"": 41}",98.0,0.98,forest,
A ranger was protecting the woods by the river.,A ranger was protecting the woods by the river.,nature,nature,,base,42,{agent} was {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""by the river"", ""sample_index"": 42}",98.0,0.98,forest,
Everyone noticed a ranger protecting the natural habitat near the trail.,Everyone noticed a ranger protecting the natural habitat near the trail.,nature,nature,,base,43,Everyone noticed {agent} {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""place"": ""near the trail"", ""sample_index"": 43}",98.0,0.98,forest,
"During the storm, a volunteer kept nurturing the natural habitat.","During the storm, a volunteer kept nurturing the natural habitat.",nature,nature,,base,44,"During the storm, {agent} kept {action} {patient}.",nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""sample_index"": 44}",98.0,0.98,forest,
People praised the community team for restoring the grove near the trail.,People praised the community team for restoring the grove near the trail.,nature,nature,,base,45,People praised {agent} for {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""the community team"", ""patient"": ""the grove"", ""place"": ""near the trail"", ""sample_index"": 45}",98.0,0.98,forest,
"During the storm, a volunteer kept watching over the forest.","During the storm, a volunteer kept watching over the forest.",nature,nature,,base,46,"During the storm, {agent} kept {action} {patient}.",watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""sample_index"": 46}",98.0,0.98,forest,
"During the storm, a caretaker kept preserving the grove.","During the storm, a caretaker kept preserving the grove.",nature,nature,,base,47,"During the storm, {agent} kept {action} {patient}.",preserving,"{""action"": ""preserving"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""sample_index"": 47}",92.0,0.92,forest,
"During the storm, a ranger kept tending the forest.","During the storm, a ranger kept tending the forest.",nature,nature,,base,48,"During the storm, {agent} kept {action} {patient}.",tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""sample_index"": 48}",98.0,0.98,forest,
"During the storm, a caretaker kept protecting the forest.","During the storm, a caretaker kept protecting the forest.",nature,nature,,base,49,"During the storm, {agent} kept {action} {patient}.",protecting,"{""action"": ""protecting"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""sample_index"": 49}",98.0,0.98,forest,
It was clear that a volunteer spent the day cleaning up the natural habitat.,It was clear that a volunteer spent the day cleaning up the natural habitat.,nature,nature,,base,50,It was clear that {agent} spent the day {action} {patient}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""sample_index"": 50}",98.0,0.98,forest,
It was clear that a local student spent the day watching over the woods.,It was clear that a local student spent the day watching over the woods.,nature,nature,,base,51,It was clear that {agent} spent the day {action} {patient}.,watching over,"{""action"": ""watching over"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""sample_index"": 51}",98.0,0.98,forest,
"During the storm, a volunteer kept nurturing the forest.","During the storm, a volunteer kept nurturing the forest.",nature,nature,,base,52,"During the storm, {agent} kept {action} {patient}.",nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""sample_index"": 52}",98.0,0.98,forest,
People praised a ranger for watching over the forest after the rain.,People praised a ranger for watching over the forest after the rain.,nature,nature,,base,53,People praised {agent} for {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 53}",98.0,0.98,forest,
A volunteer was protecting the woods at sunrise.,A volunteer was protecting the woods at sunrise.,nature,nature,,base,54,{agent} was {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 54}",98.0,0.98,forest,
"During the storm, a volunteer kept watching over the grove.","During the storm, a volunteer kept watching over the grove.",nature,nature,,base,55,"During the storm, {agent} kept {action} {patient}.",watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""sample_index"": 55}",92.0,0.92,forest,
It was clear that a local student spent the day protecting the forest.,It was clear that a local student spent the day protecting the forest.,nature,nature,,base,56,It was clear that {agent} spent the day {action} {patient}.,protecting,"{""action"": ""protecting"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""sample_index"": 56}",98.0,0.98,forest,
Everyone noticed a local student tending the woodland at sunrise.,Everyone noticed a local student tending the woodland at sunrise.,nature,nature,,base,57,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 57}",92.0,0.92,forest,
"During the storm, a volunteer kept healing the woods.","During the storm, a volunteer kept healing the woods.",nature,nature,,base,58,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""sample_index"": 58}",98.0,0.98,forest,
It was clear that a ranger spent the day nurturing the natural habitat.,It was clear that a ranger spent the day nurturing the natural habitat.,nature,nature,,base,59,It was clear that {agent} spent the day {action} {patient}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""sample_index"": 59}",98.0,0.98,forest,
A caretaker was healing the forest by the river.,A caretaker was healing the forest by the river.,nature,nature,,base,60,{agent} was {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""place"": ""by the river"", ""sample_index"": 60}",98.0,0.98,forest,
People praised the community team for watching over the woods by the river.,People praised the community team for watching over the woods by the river.,nature,nature,,base,61,People praised {agent} for {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""by the river"", ""sample_index"": 61}",98.0,0.98,forest,
A volunteer was healing the forest after the rain.,A volunteer was healing the forest after the rain.,nature,nature,,base,62,{agent} was {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 62}",98.0,0.98,forest,
It was clear that a local student spent the day preserving the forest.,It was clear that a local student spent the day preserving the forest.,nature,nature,,base,63,It was clear that {agent} spent the day {action} {patient}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""sample_index"": 63}",98.0,0.98,forest,
People praised the community team for cleaning up the forest after the rain.,People praised the community team for cleaning up the forest after the rain.,nature,nature,,base,64,People praised {agent} for {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""the community team"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 64}",98.0,0.98,forest,
"During the storm, the community team kept preserving the natural habitat.","During the storm, the community team kept preserving the natural habitat.",nature,nature,,base,65,"During the storm, {agent} kept {action} {patient}.",preserving,"{""action"": ""preserving"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""sample_index"": 65}",98.0,0.98,forest,
Everyone noticed a caretaker healing the woods on the hillside.,Everyone noticed a caretaker healing the woods on the hillside.,nature,nature,,base,66,Everyone noticed {agent} {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 66}",98.0,0.98,forest,
Everyone noticed a local student cleaning up the woods on the hillside.,Everyone noticed a local student cleaning up the woods on the hillside.,nature,nature,,base,67,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 67}",93.0,0.93,forest,
Everyone noticed a ranger watching over the forest at sunrise.,Everyone noticed a ranger watching over the forest at sunrise.,nature,nature,,base,68,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""place"": ""at sunrise"", ""sample_index"": 68}",98.0,0.98,forest,
The community team was preserving the woods after the rain.,The community team was preserving the woods after the rain.,nature,nature,,base,69,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 69}",98.0,0.98,forest,
It was clear that a caretaker spent the day nurturing the forest.,It was clear that a caretaker spent the day nurturing the forest.,nature,nature,,base,70,It was clear that {agent} spent the day {action} {patient}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""sample_index"": 70}",98.0,0.98,forest,
Everyone noticed a caretaker cleaning up the woods at sunrise.,Everyone noticed a caretaker cleaning up the woods at sunrise.,nature,nature,,base,71,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 71}",98.0,0.98,forest,
Everyone noticed the community team healing the natural habitat by the river.,Everyone noticed the community team healing the natural habitat by the river.,nature,nature,,base,72,Everyone noticed {agent} {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""place"": ""by the river"", ""sample_index"": 72}",98.0,0.98,forest,
Everyone noticed a ranger healing the woods on the hillside.,Everyone noticed a ranger healing the woods on the hillside.,nature,nature,,base,73,Everyone noticed {agent} {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 73}",98.0,0.98,forest,
The community team was preserving the woods on the hillside.,The community team was preserving the woods on the hillside.,nature,nature,,base,74,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 74}",98.0,0.98,forest,
People praised a volunteer for nurturing the woodland near the trail.,People praised a volunteer for nurturing the woodland near the trail.,nature,nature,,base,75,People praised {agent} for {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""place"": ""near the trail"", ""sample_index"": 75}",98.0,0.98,forest,
People praised a local student for nurturing the woodland by the river.,People praised a local student for nurturing the woodland by the river.,nature,nature,,base,76,People praised {agent} for {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 76}",98.0,0.98,forest,
"During the storm, a caretaker kept preserving the forest.","During the storm, a caretaker kept preserving the forest.",nature,nature,,base,77,"During the storm, {agent} kept {action} {patient}.",preserving,"{""action"": ""preserving"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""sample_index"": 77}",98.0,0.98,forest,
Everyone noticed a volunteer protecting the woodland near the trail.,Everyone noticed a volunteer protecting the woodland near the trail.,nature,nature,,base,78,Everyone noticed {agent} {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""place"": ""near the trail"", ""sample_index"": 78}",98.0,0.98,forest,
People praised a local student for watching over the natural habitat by the river.,People praised a local student for watching over the natural habitat by the river.,nature,nature,,base,79,People praised {agent} for {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""place"": ""by the river"", ""sample_index"": 79}",98.0,0.98,forest,
A volunteer was preserving the natural habitat by the river.,A volunteer was preserving the natural habitat by the river.,nature,nature,,base,80,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""place"": ""by the river"", ""sample_index"": 80}",93.0,0.93,forest,
People praised the community team for safeguarding the woods at sunrise.,People praised the community team for safeguarding the woods at sunrise.,nature,nature,,base,81,People praised {agent} for {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 81}",98.0,0.98,forest,
A caretaker was restoring the woodland by the river.,A caretaker was restoring the woodland by the river.,nature,nature,,base,82,{agent} was {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 82}",98.0,0.98,forest,
It was clear that a volunteer spent the day safeguarding the forest.,It was clear that a volunteer spent the day safeguarding the forest.,nature,nature,,base,83,It was clear that {agent} spent the day {action} {patient}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""sample_index"": 83}",98.0,0.98,forest,
People praised a local student for safeguarding the natural habitat near the trail.,People praised a local student for safeguarding the natural habitat near the trail.,nature,nature,,base,84,People praised {agent} for {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""place"": ""near the trail"", ""sample_index"": 84}",98.0,0.98,forest,
It was clear that a volunteer spent the day cleaning up the grove.,It was clear that a volunteer spent the day cleaning up the grove.,nature,nature,,base,85,It was clear that {agent} spent the day {action} {patient}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""sample_index"": 85}",98.0,0.98,forest,
It was clear that a caretaker spent the day protecting the grove.,It was clear that a caretaker spent the day protecting the grove.,nature,nature,,base,86,It was clear that {agent} spent the day {action} {patient}.,protecting,"{""action"": ""protecting"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""sample_index"": 86}",98.0,0.98,forest,
Everyone noticed a volunteer cleaning up the forest at sunrise.,Everyone noticed a volunteer cleaning up the forest at sunrise.,nature,nature,,base,87,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""place"": ""at sunrise"", ""sample_index"": 87}",98.0,0.98,forest,
"During the storm, a volunteer kept protecting the woods.","During the storm, a volunteer kept protecting the woods.",nature,nature,,base,88,"During the storm, {agent} kept {action} {patient}.",protecting,"{""action"": ""protecting"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""sample_index"": 88}",92.0,0.92,forest,
Everyone noticed a caretaker watching over the woods near the trail.,Everyone noticed a caretaker watching over the woods near the trail.,nature,nature,,base,89,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 89}",98.0,0.98,forest,
It was clear that a local student spent the day protecting the woodland.,It was clear that a local student spent the day protecting the woodland.,nature,nature,,base,90,It was clear that {agent} spent the day {action} {patient}.,protecting,"{""action"": ""protecting"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""sample_index"": 90}",98.0,0.98,forest,
